n,rect,system1,system2
0,1.0,1.0,2.200000047683716
1,1.0,1.5,2.6399998664855957
2,1.0,1.5,2.947999954223633
3,1.0,1.5,3.163599967956543
4,1.0,1.5,3.3145198822021484
5,1.0,1.5,3.420164108276367
6,1.0,1.5,3.494114875793457
7,0.0,0.5,1.345880389213562
8,0.0,0.0,0.9421162605285645
9,0.0,0.0,0.6594813466072083
10,0.0,0.0,0.4616369307041168
11,0.0,0.0,0.3231458365917206
12,0.0,0.0,0.2262020856142044
13,0.0,0.0,0.1583414524793625
14,0.0,0.0,0.11083901673555374
15,0.0,0.0,0.0775873139500618
16,0.0,0.0,0.0543111190199852
17,0.0,0.0,0.03801778331398964
18,0.0,0.0,0.026612447574734688
19,0.0,0.0,0.018628712743520737
