n,adc_buffer_40k,dac_buffer_40k,dac_buffer_40k_unprocessed
0,2030,2028,2020
1,2033,2028,2015
2,2033,1948,1990
3,2027,1961,1968
4,2015,1982,1951
5,2017,2009,1941
6,2011,2074,1948
7,2018,2044,1947
8,2027,2111,1965
9,2036,2095,1979
10,2036,2086,1991
11,2039,2035,1987
12,2035,2018,1977
13,2038,2004,1961
14,2035,1991,1939
15,2029,2008,1922
16,2024,2026,1912
17,2013,2034,1905
18,2009,2049,1906
19,1995,2052,1909
20,1985,2048,1909
21,1979,2048,1909
22,1969,2043,1903
23,1973,2036,1881
24,1991,2041,1854
25,2009,2048,1847
26,2011,2047,1849
27,2006,2030,1883
28,1989,2025,1913
29,1988,2042,1919
30,2013,2045,1921
31,2049,2048,1921
32,2069,2017,1939
33,2079,2003,1962
34,2089,2026,1972
35,2113,2040,1975
36,2137,2042,1977
37,2156,2023,1986
38,2161,2030,1992
39,2155,2075,1983
40,2151,2170,1945
41,2156,2152,1914
42,2154,2188,1874
43,2138,2163,1842
44,2115,2118,1823
45,2084,2093,1811
46,2062,2067,1806
47,2053,2040,1808
48,2056,2008,1818
49,2075,1956,1841
50,2093,1900,1878
51,2103,1884,1919
52,2119,1936,1947
53,2141,2032,1951
54,2169,2078,1943
55,2195,2044,1944
56,2217,1947,1971
57,2228,1780,2045
58,2234,1627,2165
59,2231,1554,2311
60,2229,1552,2464
61,2215,1613,2605
62,2199,1733,2713
63,2177,1889,2771
64,2158,2050,2770
65,2138,2214,2699
66,2125,2378,2545
67,2113,2381,2372
68,2108,2349,2195
69,2105,2274,2041
70,2101,2171,1941
71,2099,2126,1862
72,2099,2078,1821
73,2093,2052,1812
74,2090,2040,1841
75,2085,2048,1908
76,2095,2072,2005
77,2101,2105,2120
78,2102,2140,2243
79,2099,2174,2370
80,2086,2201,2494
81,2080,2232,2619
82,2067,2196,2706
83,2055,2146,2757
84,2051,2060,2763
85,2054,1956,2724
86,2059,1790,2623
87,2058,1656,2480
88,2049,1549,2309
89,2037,1530,2141
90,2027,1582,1997
91,2011,1693,1892
92,1988,1778,1815
93,1979,1924,1781
94,1977,2066,1786
95,1984,2207,1828
96,2000,2330,1901
97,2019,2389,1988
98,2024,2385,2073
99,2018,2315,2140
100,2011,2223,2184
101,2007,2151,2210
102,2002,2063,2214
103,2000,1961,2192
104,1995,1823,2134
105,2000,1720,2048
106,2008,1650,1941
107,2013,1649,1831
108,2015,1736,1742
109,2018,1787,1665
110,2013,1873,1611
111,2011,1995,1594
112,2004,2068,1601
113,2014,2176,1648
114,2037,2257,1730
115,2069,2276,1827
116,2095,2236,1915
117,2119,2190,1989
118,2135,2145,2046
119,2143,2108,2087
120,2151,2075,2109
121,2144,2052,2114
122,2139,2036,2098
123,2113,2030,2064
124,2097,2037,2021
125,2083,2048,1973
126,2079,2057,1934
127,2077,2064,1901
128,2076,2066,1876
129,2101,2052,1871
130,2119,2030,1885
131,2136,2003,1915
132,2147,1966,1963
133,2158,1945,2016
134,2165,1940,2066
135,2167,1942,2111
136,2170,1961,2145
137,2171,1965,2175
138,2167,2015,2186
139,2153,2041,2188
140,2143,2080,2178
141,2132,2075,2170
142,2121,2107,2153
143,2105,2105,2137
144,2093,2021,2144
145,2085,2013,2153
146,2078,1982,2170
147,2079,1949,2195
148,2062,1932,2224
149,2064,1912,2258
150,2059,1944,2284
151,2057,1972,2303
152,2057,1968,2323
153,2048,1985,2339
154,2037,2013,2348
155,2033,2048,2348
156,2029,2126,2327
157,2021,2152,2298
158,2018,2202,2254
159,2012,2213,2205
160,2007,2193,2160
161,2010,2195,2112
162,2017,2170,2070
163,2022,2130,2040
164,2028,2086,2025
165,2033,2055,2022
166,2033,2011,2039
167,2027,2005,2061
168,2022,2000,2089
169,2025,2008,2116
170,2029,2018,2140
171,2035,2025,2163
172,2037,2038,2176
173,2033,2042,2186
174,2040,2047,2187
175,2031,2048,2173
176,2035,2040,2144
177,2027,2028,2105
178,2026,2011,2056
179,2029,1996,2004
180,2031,1992,1959
181,2029,1993,1922
182,2026,2003,1896
183,2025,2022,1883
184,2011,2037,1878
185,1998,2073,1889
186,1987,2111,1914
187,1977,2143,1949
188,1970,2164,1989
189,1969,2162,2026
190,1973,2138,2054
191,1989,2091,2067
192,1992,2086,2078
193,1999,2037,2075
194,2007,2021,2068
195,2009,2002,2056
196,2017,1986,2040
197,2020,1981,2023
198,2015,2008,2013
199,2012,1972,1994
200,2011,2020,1987
201,2007,1992,1973
202,2011,1996,1960
203,2016,2020,1953
204,2018,2024,1947
205,2024,2036,1944
206,2029,2092,1956
207,2032,2131,1979
208,2038,2156,2010
209,2034,2172,2047
210,2034,2151,2079
211,2029,2128,2105
212,2026,2100,2123
213,2021,2075,2133
214,2023,2048,2133
215,2017,2036,2128
216,2016,1996,2104
217,2010,2007,2083
218,2009,1990,2049
219,2009,2021,2031
220,2013,2033,2019
221,2020,2033,2004
222,2029,2049,2006
223,2039,2051,2013
224,2048,2050,2023
225,2052,2048,2033
226,2068,2045,2041
227,2074,2046,2043
228,2079,2053,2035
229,2077,2055,2027
230,2070,2062,2015
231,2061,2061,2006
232,2044,2049,2005
233,2035,2051,2003
234,2030,2060,1997
235,2028,2066,1989
236,2030,2086,1974
237,2029,2097,1956
238,2030,2082,1944
239,2020,2072,1936
240,2022,2064,1931
241,2023,2048,1931
242,2029,2044,1932
243,2037,2048,1932
244,2055,2029,1937
245,2069,2040,1939
246,2081,2032,1943
247,2092,2048,1943
248,2107,2071,1937
249,2113,2055,1935
250,2114,2063,1931
251,2115,2091,1920
252,2116,2051,1919
253,2114,2048,1919
254,2108,2048,1919
255,2107,1979,1937
256,2107,2010,1947
257,2112,2004,1959
258,2120,2026,1965
259,2129,2044,1966
260,2137,2051,1965
261,2139,2057,1962
262,2145,2045,1963
263,2142,2048,1963
264,2143,2040,1966
265,2140,2031,1973
266,2143,2048,1973
267,2140,2059,1967
268,2147,2061,1959
269,2149,2065,1947
270,2157,2062,1935
271,2156,2063,1919
272,2149,2056,1908
273,2142,2054,1896
274,2139,2051,1884
275,2135,2048,1875
276,2137,2046,1871
277,2132,2049,1874
278,2131,2068,1901
279,2126,2119,1973
280,2129,2212,2106
281,2136,2274,2260
282,2142,2315,2417
283,2152,2321,2559
