n,input_signal,output_freq,output_fft_mag
0,-5.196373967919499e-05,0.0,9.723557741381228e-05
1,-4.502385854721069e-05,8.0,5.587973282672465e-05
2,8.791648724582046e-06,16.0,6.440638389904052e-05
3,-2.7572539693210274e-05,24.0,3.105968062300235e-05
4,-5.960464477539062e-07,32.0,1.77731071744347e-05
5,-1.6689300537109375e-06,40.0,9.010591020341963e-05
6,-7.138107321225107e-05,48.0,0.00011491320037748665
7,3.2591677154414356e-05,56.0,0.0001237963151652366
8,-7.153071055654436e-05,64.0,6.139552169770468e-06
9,-3.586631646612659e-05,72.0,7.787882168486249e-06
10,-5.66961316508241e-05,80.0,0.000104501326859463
11,-4.791456740349531e-05,88.0,8.518568938598037e-05
12,-3.195542376488447e-05,96.0,9.467625204706565e-05
13,-1.949979196069762e-05,104.0,0.00020566700550261885
14,4.017464380012825e-05,112.0,0.00011080349213443696
15,-2.4583445338066667e-05,120.0,3.606060636229813e-05
16,-6.625161040574312e-05,128.0,9.287772991228849e-05
17,3.9991969970287755e-05,136.0,7.053692388581112e-05
18,-9.147034143097699e-05,144.0,0.00013899881741963327
19,-1.9641578546725214e-05,152.0,0.0002968182961922139
20,-5.528191104531288e-05,160.0,0.0001515523181296885
21,-8.544949378119782e-05,168.0,0.00013479763583745807
22,-1.0299352652509697e-05,176.0,6.20310747763142e-05
23,-3.645875403890386e-05,184.0,3.0247727409005165e-05
24,2.1506530174519867e-05,192.0,0.00013507042604032904
25,6.42209270154126e-05,200.0,0.00011291013652225956
26,-7.847165397834033e-05,208.0,8.742765203351155e-05
27,-9.675294859334826e-05,216.0,9.080598101718351e-05
28,-5.030632019042969e-05,224.0,3.905745325027965e-05
29,-2.6941299438476562e-05,232.0,5.464624337037094e-05
30,8.5630570538342e-05,240.0,9.065950143849477e-05
31,-5.8069916121894494e-05,248.0,0.0001493250747444108
32,-9.34909621719271e-05,256.0,0.00011751501733670011
33,0.0001179961982415989,264.0,4.279168206267059e-05
34,3.9998838474275544e-05,272.0,9.90238695521839e-05
35,-0.00011580389400478452,280.0,0.00013867125380784273
36,-8.414262265432626e-05,288.0,0.00020942564879078418
37,1.131385943153873e-06,296.0,0.00023141222482081503
38,-3.0196624720701948e-05,304.0,6.436568219214678e-05
39,3.8130368920974433e-05,312.0,0.00014486632426269352
