n,adc_buffer
0,1.0
1,0.9882389307022095
2,0.9533060193061829
3,0.8959493637084961
4,0.8175848126411438
5,0.7199889421463013
6,0.6055110692977905
7,0.47679024934768677
8,0.3368898630142212
9,0.1890650987625122
10,0.03680722042918205
11,-0.11631644517183304
12,-0.2667127549648285
13,-0.4108354449272156
14,-0.545324981212616
15,-0.666987419128418
16,-0.7730104327201843
17,-0.8608506917953491
18,-0.928506076335907
19,-0.9743210077285767
20,-0.9972904324531555
21,-0.996801495552063
22,-0.9729399681091309
23,-0.9261927604675293
24,-0.8577287793159485
25,-0.769088864326477
26,-0.6624158024787903
27,-0.5401613116264343
28,-0.40524131059646606
29,-0.2607892155647278
30,-0.1102222129702568
31,0.042937442660331726
32,0.19509032368659973
33,0.342654287815094
34,0.4821837842464447
35,0.6103713512420654
36,0.7242470979690552
37,0.8210870623588562
38,0.898674488067627
39,0.9551231861114502
40,0.9891765117645264
41,0.999962329864502
42,0.9873014092445374
43,0.951417088508606
44,0.89322429895401
45,0.8140209913253784
46,0.7157308459281921
47,0.6006051898002625
48,0.47139742970466614
49,0.33110007643699646
50,0.18303988873958588
51,0.030674226582050323
52,-0.12241067737340927
53,-0.2726162075996399
54,-0.4164295494556427
55,-0.5504475831985474
56,-0.6715589761734009
57,-0.7768738269805908
58,-0.8639728426933289
59,-0.9307491779327393
60,-0.9757021069526672
61,-0.9977042078971863
62,-0.9963126182556152
63,-0.9714857935905457
64,-0.9238795042037964
65,-0.8545418977737427
66,-0.7651672959327698
67,-0.6577943563461304
68,-0.5349982380867004
69,-0.39961665868759155
70,-0.254866361618042
71,-0.104119673371315
72,0.0490676686167717
73,0.20110085606575012
74,0.3484186828136444
75,0.48754099011421204
76,0.6152315735816956
77,0.7284506559371948
78,0.8245893120765686
79,0.901331901550293
80,0.9569403529167175
81,0.990039587020874
82,0.9999247193336487
83,0.9862895011901855
84,0.949528157711029
85,0.8904320001602173
86,0.8104572296142578
87,0.7114188075065613
88,0.5956993103027344
89,0.46596771478652954
90,0.32531028985977173
91,0.17700088024139404
92,0.024541230872273445
93,-0.1284956932067871
94,-0.2785196900367737
95,-0.42199230194091797
96,-0.5555689930915833
97,-0.6760799884796143
98,-0.7807372212409973
99,-0.8670299053192139
100,-0.9329928159713745
101,-0.9770097732543945
102,-0.9981181025505066
103,-0.9957486391067505
104,-0.9700312614440918
105,-0.9214972257614136
106,-0.8513551950454712
107,-0.7611880302429199
108,-0.6531728506088257
109,-0.5297949314117432
110,-0.39399203658103943
111,-0.2489229142665863
112,-0.0980171412229538
113,0.05519270896911621
114,0.20711137354373932
115,0.35415685176849365
116,0.49289819598197937
117,0.6200443506240845
118,0.7326532602310181
119,0.828029453754425
120,0.903989315032959
121,0.9586853981018066
122,0.9909024834632874
123,0.9998117685317993
124,0.9852776527404785
125,0.9475677013397217
126,0.8876402974128723
127,0.8068332672119141
128,0.7071067690849304
129,0.5907485485076904
130,0.46053871512413025
131,0.3194974362850189
132,0.1709618866443634
133,0.01840638555586338
134,-0.13458071649074554
135,-0.2844007611274719
136,-0.4275537431240082
137,-0.5606510639190674
138,-0.6806010007858276
139,-0.7845418453216553
140,-0.8700861930847168
141,-0.9351658821105957
142,-0.978317379951477
143,-0.9984567761421204
144,-0.9951848387718201
145,-0.9685041904449463
146,-0.9191138744354248
147,-0.8481043577194214
148,-0.7572097778320312
149,-0.648503303527832
150,-0.5245896577835083
151,-0.38833773136138916
152,-0.24298018217086792
153,-0.09190872311592102
154,0.06132074072957039
155,0.21310630440711975
156,0.3598950505256653
157,0.498218297958374
158,0.6248595118522644
159,0.7368026971817017
160,0.8314695954322815
161,0.9065786600112915
162,0.9604305028915405
163,0.9916911125183105
164,0.99969881772995
165,0.9841915369033813
166,0.9456073045730591
167,0.8847804069519043
168,0.803207516670227
169,0.7027415037155151
170,0.5857978463172913
171,0.4550750255584717
172,0.3136817514896393
173,0.16491001844406128
174,0.012271540239453316
175,-0.14065559208393097
176,-0.2902846932411194
177,-0.43308568000793457
178,-0.5657318234443665
179,-0.6850707530975342
180,-0.7883464097976685
181,-0.8730785250663757
182,-0.9373390078544617
183,-0.9795513153076172
184,-0.9987954497337341
185,-0.9945458173751831
186,-0.9669764637947083
187,-0.9166618585586548
188,-0.8448535799980164
189,-0.7531726360321045
190,-0.6438315510749817
191,-0.5193462371826172
192,-0.38268619775772095
193,-0.2370191514492035
194,-0.08579730987548828
195,0.0674426481127739
196,0.21910123527050018
197,0.3656061291694641
198,0.5035383701324463
199,0.6296263933181763
200,0.7409511208534241
201,0.8348454833030701
202,0.909168004989624
203,0.9621032476425171
204,0.9924795031547546
205,0.9995105862617493
206,0.983105480670929
