n,input_fft_mag,output_freq,
1,4247.07958984375,9.765625,
2,4546.9423828125,19.53125,
3,1361.5550537109375,29.296875,
4,2073.188720703125,39.0625,
5,3535.17138671875,48.828125,
6,4344.77587890625,58.59375,
7,3888.150146484375,68.359375,
8,1859.0,78.125,
9,1825.0673828125,87.890625,
10,2511.40234375,97.65625,
11,3464.174560546875,107.421875,
12,2198.0546875,117.1875,
13,2793.35595703125,126.953125,
14,6404.6015625,136.71875,
15,3293.249267578125,146.484375,
16,3312.684326171875,156.25,
17,5872.763671875,166.015625,
18,3962.4833984375,175.78125,
19,4456.2109375,185.546875,
20,3660.10400390625,195.3125,
21,3676.568115234375,205.078125,
22,3663.43310546875,214.84375,
23,5617.71435546875,224.609375,
24,5700.40087890625,234.375,
25,5601.76171875,244.140625,
26,5637.634765625,253.90625,
27,4408.57666015625,263.671875,
28,3519.950927734375,273.4375,
29,4396.04248046875,283.203125,
30,3240.095458984375,292.96875,
31,4333.81396484375,302.734375,
32,2405.44873046875,312.5,
33,2506.44287109375,322.265625,
34,2689.98583984375,332.03125,
35,3834.8681640625,341.796875,
36,2949.522216796875,351.5625,
37,3723.28125,361.328125,
38,4770.57666015625,371.09375,
39,1714.0924072265625,380.859375,
40,4403.1806640625,390.625,
41,4064.875732421875,400.390625,
42,2357.912841796875,410.15625,
43,5602.95166015625,419.921875,
44,4841.7783203125,429.6875,
45,4580.51025390625,439.453125,
46,4797.8447265625,449.21875,
47,3235.3154296875,458.984375,
48,4965.685546875,468.75,
49,4993.2177734375,478.515625,
50,4924.2431640625,488.28125,
51,5167.5224609375,498.046875,
52,3955.955078125,507.8125,
53,4509.10498046875,517.578125,
54,3935.76953125,527.34375,
55,5781.04833984375,537.109375,
56,4050.3701171875,546.875,
57,5332.75,556.640625,
58,5295.10791015625,566.40625,
59,6148.76953125,576.171875,
60,4839.974609375,585.9375,
61,4658.81884765625,595.703125,
62,5804.6083984375,605.46875,
63,5904.99267578125,615.234375,
64,4361.99267578125,625.0,
65,5955.83154296875,634.765625,
66,5954.12548828125,644.53125,
67,7139.9521484375,654.296875,
68,6497.07763671875,664.0625,
69,6475.29248046875,673.828125,
70,7185.11083984375,683.59375,
71,6988.76171875,693.359375,
72,7108.80419921875,703.125,
73,7427.7275390625,712.890625,
74,8367.8349609375,722.65625,
75,8623.580078125,732.421875,
76,8175.51416015625,742.1875,
77,8503.470703125,751.953125,
78,9466.81640625,761.71875,
79,10288.0419921875,771.484375,
80,10143.126953125,781.25,
81,9450.416015625,791.015625,
82,10918.1279296875,800.78125,
83,11936.1845703125,810.546875,
84,12407.2646484375,820.3125,
85,14106.234375,830.078125,
86,15296.486328125,839.84375,
87,16110.4599609375,849.609375,
88,18018.83984375,859.375,
89,21853.13671875,869.140625,
90,23462.900390625,878.90625,
91,28498.611328125,888.671875,
92,34357.44140625,898.4375,
93,43444.046875,908.203125,
94,59587.61328125,917.96875,
95,96979.1640625,927.734375,
96,269366.40625,937.5,
97,334691.875,947.265625,
98,103093.0859375,957.03125,
99,60360.9296875,966.796875,
100,41864.3671875,976.5625,
101,31696.419921875,986.328125,
102,25609.48046875,996.09375,
103,22189.8828125,1005.859375,
104,18844.166015625,1015.625,
105,16323.8232421875,1025.390625,
106,14679.7080078125,1035.15625,
107,12869.443359375,1044.921875,
108,12233.1279296875,1054.6875,
109,11213.9091796875,1064.453125,
110,9969.4287109375,1074.21875,
111,9485.171875,1083.984375,
112,8052.109375,1093.75,
113,7499.8740234375,1103.515625,
114,7728.03857421875,1113.28125,
115,6606.4677734375,1123.046875,
116,6231.03759765625,1132.8125,
117,6600.66552734375,1142.578125,
118,5521.087890625,1152.34375,
119,5694.14794921875,1162.109375,
120,5390.88671875,1171.875,
121,4945.3076171875,1181.640625,
122,3949.979736328125,1191.40625,
123,4264.61669921875,1201.171875,
124,4154.08349609375,1210.9375,
125,4270.3447265625,1220.703125,
126,3709.681396484375,1230.46875,
127,3456.267822265625,1240.234375,
128,3835.19091796875,1250.0,
129,3956.301513671875,1259.765625,
130,3173.502685546875,1269.53125,
131,3058.98974609375,1279.296875,
132,3419.403564453125,1289.0625,
133,2558.576904296875,1298.828125,
134,2814.71484375,1308.59375,
135,2787.117431640625,1318.359375,
136,2355.2880859375,1328.125,
137,2447.78662109375,1337.890625,
138,2227.38525390625,1347.65625,
139,2103.312744140625,1357.421875,
140,1779.39208984375,1367.1875,
141,2222.714111328125,1376.953125,
142,2456.4140625,1386.71875,
143,1360.5523681640625,1396.484375,
144,1420.0389404296875,1406.25,
145,1830.7049560546875,1416.015625,
146,1867.3936767578125,1425.78125,
147,1472.944091796875,1435.546875,
148,2047.0167236328125,1445.3125,
149,1176.2615966796875,1455.078125,
150,1653.9713134765625,1464.84375,
151,1868.57763671875,1474.609375,
152,1414.661376953125,1484.375,
153,1346.182373046875,1494.140625,
154,1586.3192138671875,1503.90625,
155,1752.2833251953125,1513.671875,
156,1890.3597412109375,1523.4375,
157,2200.710205078125,1533.203125,
158,2453.208251953125,1542.96875,
159,2452.660400390625,1552.734375,
160,2740.761474609375,1562.5,
161,3683.54736328125,1572.265625,
162,4553.40576171875,1582.03125,
163,5543.66748046875,1591.796875,
164,7120.2646484375,1601.5625,
165,10797.1103515625,1611.328125,
166,17638.611328125,1621.09375,
167,51673.05859375,1630.859375,
168,69126.4296875,1640.625,
169,21718.970703125,1650.390625,
170,13169.3818359375,1660.15625,
171,9703.05078125,1669.921875,
172,7728.3525390625,1679.6875,
173,6400.1923828125,1689.453125,
174,5398.7001953125,1699.21875,
175,4911.97021484375,1708.984375,
176,4244.07568359375,1718.75,
177,4170.25634765625,1728.515625,
178,3688.82861328125,1738.28125,
179,4160.56640625,1748.046875,
180,3543.236572265625,1757.8125,
181,3233.904052734375,1767.578125,
182,2951.516845703125,1777.34375,
183,3010.258544921875,1787.109375,
184,2720.76611328125,1796.875,
185,2733.46435546875,1806.640625,
186,2296.11181640625,1816.40625,
187,2479.06591796875,1826.171875,
188,2326.020263671875,1835.9375,
189,2370.88427734375,1845.703125,
190,1894.9278564453125,1855.46875,
191,2069.684814453125,1865.234375,
192,2141.451171875,1875.0,
193,903.9505004882812,1884.765625,
194,2186.3828125,1894.53125,
195,2234.96875,1904.296875,
196,1536.255126953125,1914.0625,
197,1864.36181640625,1923.828125,
198,1530.3980712890625,1933.59375,
199,1944.9482421875,1943.359375,
200,1987.8399658203125,1953.125,
201,2031.3114013671875,1962.890625,
202,1845.965087890625,1972.65625,
203,1576.6314697265625,1982.421875,
204,1641.3778076171875,1992.1875,
205,1635.0301513671875,2001.953125,
206,1828.738037109375,2011.71875,
207,1530.05322265625,2021.484375,
208,1401.5533447265625,2031.25,
209,1405.2164306640625,2041.015625,
210,1299.5928955078125,2050.78125,
211,1551.7845458984375,2060.546875,
212,1566.1112060546875,2070.3125,
213,1435.513427734375,2080.078125,
214,1589.8612060546875,2089.84375,
215,1569.2646484375,2099.609375,
216,1616.6822509765625,2109.375,
217,1635.0426025390625,2119.140625,
218,2064.983642578125,2128.90625,
219,626.2606201171875,2138.671875,
220,718.9706420898438,2148.4375,
221,733.0446166992188,2158.203125,
222,1231.2164306640625,2167.96875,
223,1189.5189208984375,2177.734375,
224,809.2620849609375,2187.5,
225,1094.94140625,2197.265625,
226,1004.933349609375,2207.03125,
227,951.3773193359375,2216.796875,
228,1130.3455810546875,2226.5625,
229,1041.367431640625,2236.328125,
230,980.301025390625,2246.09375,
231,1030.425537109375,2255.859375,
232,993.7347412109375,2265.625,
233,953.8757934570312,2275.390625,
234,1054.5252685546875,2285.15625,
235,926.0294189453125,2294.921875,
236,859.79736328125,2304.6875,
237,996.9910888671875,2314.453125,
238,1550.8370361328125,2324.21875,
239,247.64031982421875,2333.984375,
240,581.2321166992188,2343.75,
241,604.6539306640625,2353.515625,
242,751.6294555664062,2363.28125,
243,978.48681640625,2373.046875,
244,608.156982421875,2382.8125,
245,677.4571533203125,2392.578125,
246,845.22802734375,2402.34375,
247,903.0702514648438,2412.109375,
248,716.1544189453125,2421.875,
249,701.3917236328125,2431.640625,
250,632.5614624023438,2441.40625,
251,651.2835693359375,2451.171875,
252,841.8933715820312,2460.9375,
253,473.842041015625,2470.703125,
254,786.4876098632812,2480.46875,
255,540.658935546875,2490.234375,
256,586.4934692382812,2500.0,
257,792.418701171875,2509.765625,
258,736.9274291992188,2519.53125,
259,728.8338623046875,2529.296875,
260,496.5359191894531,2539.0625,
261,795.0719604492188,2548.828125,
262,649.2764892578125,2558.59375,
263,521.2389526367188,2568.359375,
264,620.6201171875,2578.125,
265,604.6167602539062,2587.890625,
266,616.723388671875,2597.65625,
267,627.2252197265625,2607.421875,
